"student_id","instructor_id","service","studage_group","rating"
2167,1750,1,"late",3
2560,554,1,"late",3
1474,1411,0,"late",2
444,621,1,"early",2
1623,1546,0,"late",3
906,1729,0,"early",5
1433,204,1,"late",3
1296,204,0,"late",5
348,2087,0,"late",4
2905,651,1,"late",5
1281,554,1,"late",2
1153,1036,1,"early",3
485,204,0,"early",2
2223,554,1,"early",5
215,1036,0,"late",4
1055,1729,0,"late",1
1134,1750,1,"late",4
1657,554,1,"early",4
563,204,0,"late",4
1850,554,1,"late",5
1134,554,1,"late",4
1154,204,1,"late",2
2870,1939,0,"late",5
212,1939,1,"late",4
1369,295,0,"early",5
318,1036,1,"early",2
1581,295,0,"early",2
1137,554,1,"early",1
2633,295,0,"early",5
2032,204,0,"early",5
2935,204,1,"late",3
157,621,1,"late",4
1019,1939,0,"late",1
2540,653,1,"late",4
548,204,0,"early",3
1167,1036,1,"early",2
575,2076,1,"early",4
315,554,1,"early",1
465,1729,0,"late",3
372,204,1,"late",1
1752,1939,0,"late",4
2791,554,1,"early",1
1563,554,1,"early",5
2471,610,0,"late",2
1940,621,1,"late",1
59,983,0,"late",3
2927,1411,0,"late",3
2510,204,0,"early",3
940,1729,0,"early",2
1779,653,1,"late",1
582,95,0,"late",1
1812,204,1,"late",1
1599,1939,0,"early",2
2886,860,0,"late",5
1578,1939,0,"late",5
1300,1036,1,"early",4
1189,1939,0,"late",3
596,554,1,"early",1
462,204,1,"early",1
130,204,0,"late",5
1533,204,0,"early",4
1049,2087,1,"late",4
462,1729,1,"early",1
1831,1546,0,"late",3
1984,554,1,"early",1
967,2087,0,"late",5
1884,95,0,"late",3
501,204,0,"early",5
2389,1091,1,"late",5
2108,621,1,"late",3
1827,621,1,"late",2
1948,204,1,"early",3
2611,621,1,"late",1
1460,1729,0,"early",5
2041,991,0,"late",2
1299,554,1,"early",5
844,1167,1,"late",5
618,1729,0,"early",4
1889,204,1,"early",3
836,2076,0,"early",3
974,610,0,"late",2
193,1546,1,"late",4
1606,1411,0,"late",1
1359,653,1,"late",3
2740,204,0,"early",3
2933,1036,1,"early",1
1774,204,0,"late",5
2461,204,0,"late",3
2627,1729,0,"early",5
873,653,1,"early",4
925,860,0,"early",1
1810,554,1,"early",3
616,1729,0,"late",5
1185,204,0,"late",2
2617,380,0,"late",5
1394,554,1,"early",2
1324,295,0,"early",5
258,621,1,"late",2
277,554,1,"late",1
708,554,1,"early",2
905,1411,0,"late",3
135,621,1,"late",2
872,554,1,"early",3
372,1750,1,"late",2
2167,653,1,"late",2
130,1729,0,"late",3
716,554,1,"early",2
776,295,0,"late",4
2769,554,1,"early",1
709,1036,1,"early",2
676,1546,0,"late",4
2932,380,0,"late",5
1624,653,1,"late",2
1738,1036,1,"early",1
1407,204,0,"late",5
1961,204,1,"early",2
2776,204,0,"late",4
419,1939,0,"early",3
2138,1546,0,"late",5
343,2076,0,"early",4
2375,1036,1,"early",4
779,204,1,"late",2
974,204,1,"late",2
1816,554,1,"early",3
1986,1729,0,"early",5
2121,295,0,"late",5
2368,860,0,"early",5
241,2076,0,"early",4
1613,554,1,"late",1
2617,441,0,"late",1
1888,539,0,"late",5
2335,554,1,"early",2
368,1036,1,"early",3
2290,204,0,"late",1
2002,204,0,"late",1
2226,1546,0,"late",5
1986,204,0,"early",5
728,204,1,"late",2
343,554,1,"early",1
1433,1546,0,"late",3
2143,1774,0,"late",4
450,204,1,"late",1
1736,1411,0,"late",5
2728,621,1,"early",2
1672,204,0,"late",3
1732,287,0,"late",4
2128,1939,1,"late",5
2728,1939,0,"early",5
2165,1036,1,"early",1
1705,554,1,"late",5
2143,653,1,"late",3
974,1167,0,"late",3
37,204,0,"late",3
2460,441,0,"late",1
1212,554,1,"early",3
633,2087,0,"late",2
2437,554,1,"early",3
749,204,0,"early",5
773,204,1,"early",3
196,983,0,"late",3
889,991,0,"late",3
2099,1036,1,"early",4
787,295,0,"late",5
1400,1939,0,"late",4
1934,991,0,"late",1
2134,1797,0,"early",3
1212,1036,1,"early",1
1370,554,1,"early",4
1752,621,1,"late",3
545,1729,0,"early",3
1185,1729,0,"late",4
769,1036,1,"early",2
2424,2076,0,"early",5
2865,295,0,"early",3
459,287,0,"late",5
2069,554,1,"early",3
2002,1774,0,"late",2
2957,1729,0,"late",3
1060,1729,0,"early",5
899,554,1,"early",2
2611,1939,0,"late",3
1096,1939,0,"late",3
179,651,1,"late",2
2041,95,0,"late",1
1503,380,1,"late",3
318,554,1,"early",5
2322,1036,1,"early",4
654,1167,0,"late",4
1019,621,1,"late",3
1296,1729,0,"late",3
50,1729,0,"late",3
2889,95,0,"late",2
2253,1036,1,"early",2
2876,554,1,"early",3
1750,621,1,"late",1
2449,621,1,"late",1
2694,2076,0,"late",4
1403,860,0,"late",3
1048,1939,1,"late",2
2421,204,0,"late",2
2968,653,1,"late",1
677,204,0,"late",3
415,554,1,"early",1
2132,621,1,"late",5
582,1939,1,"late",1
1743,441,0,"late",1
1934,95,0,"late",1
1503,539,0,"late",3
474,539,0,"late",3
1942,1036,1,"early",3
1662,555,1,"late",3
1865,1036,1,"early",5
1496,204,0,"late",2
2638,204,1,"early",4
1783,653,1,"early",4
1881,554,1,"late",5
2050,653,1,"late",3
1499,1091,0,"late",5
1659,458,1,"late",3
1863,1729,1,"late",4
450,554,1,"late",1
2872,554,1,"late",2
2870,621,1,"late",3
2653,554,1,"late",1
776,1411,0,"late",4
2865,204,0,"early",5
71,860,1,"late",3
2232,983,0,"late",1
2784,1729,0,"early",5
2900,983,0,"late",5
677,1729,0,"late",5
171,621,1,"late",4
799,204,0,"early",5
481,1167,0,"late",2
1289,95,0,"late",3
2191,554,1,"early",1
1863,204,1,"late",4
1325,1411,0,"late",5
1452,621,1,"late",1
2099,554,1,"early",2
495,1939,0,"late",3
2416,1729,1,"early",2
1163,204,1,"early",5
176,539,1,"late",1
2714,554,1,"early",3
1750,2087,0,"late",3
1174,204,1,"early",5
1865,554,1,"early",4
33,204,0,"late",1
2733,295,0,"early",4
55,95,0,"late",3
481,204,1,"late",5
2957,295,0,"late",4
2633,204,0,"early",5
2971,1797,0,"late",3
2876,860,0,"early",5
2733,204,0,"early",2
2787,1729,0,"late",2
613,991,0,"late",2
2961,295,0,"early",5
1860,1036,1,"early",3
2039,1750,1,"late",5
435,204,1,"late",3
1832,554,1,"early",3
1775,295,0,"late",2
1549,554,1,"late",4
344,621,1,"early",5
1403,554,1,"late",1
2703,1036,1,"early",2
2705,1036,1,"early",2
697,653,1,"late",1
934,204,0,"late",4
2335,1036,1,"early",5
2165,554,1,"early",3
671,204,1,"late",5
159,1774,1,"late",5
477,295,0,"late",3
2927,295,0,"late",4
1624,441,0,"late",1
844,1411,0,"late",3
2631,295,0,"late",3
1474,295,0,"late",1
750,441,0,"late",1
2088,651,1,"late",3
2417,1091,1,"early",4
1369,1729,0,"early",3
2088,1750,1,"late",2
1623,610,0,"late",3
1022,287,0,"late",3
1204,653,1,"late",3
22,1774,1,"early",5
2253,554,1,"early",4
1295,991,0,"late",2
377,1774,0,"late",5
115,204,0,"late",4
2417,1939,0,"early",4
1087,860,0,"early",5
1779,295,0,"late",5
246,621,1,"late",1
1320,554,1,"early",2
2905,554,1,"late",5
1153,554,1,"early",5
1263,95,0,"late",2
1311,1036,1,"early",1
1744,204,1,"late",5
159,651,1,"late",4
2653,287,0,"late",5
1299,1036,1,"early",3
2041,1939,1,"late",1
695,1750,1,"late",5
1216,554,1,"late",5
2844,1411,0,"early",4
2120,1036,1,"early",2
2226,204,1,"late",2
552,1797,0,"late",5
1744,610,0,"late",3
872,1036,1,"early",3
1888,287,0,"late",5
787,1411,0,"late",4
1744,1167,0,"late",5
1216,2087,1,"late",1
237,1797,0,"early",3
1154,1729,1,"late",3
2196,1729,0,"late",4
906,204,0,"early",3
328,554,1,"late",4
1783,2076,1,"early",5
1408,458,1,"late",5
196,651,1,"late",2
697,204,0,"late",4
2862,1036,1,"early",4
